Title,Price,Year,Mileage,Fuel,Location,Link,Make,Model,Condition,Body Type,Color,Seats
suzuki swft dlx full ginun arjand seel,Rs 19.50 Lacs,2015,"104,000 km",Petrol,"Nazimabad 4, Karachi•",https://www.olx.com.pk/item/suzuki-swft-dlx-full-ginun-arjand-seel-iid-1105906404,Suzuki,Swift,Used,Hatchback,Burgundy,4.0
Wagon R VXL 2018,Rs 23 Lacs,2018,"130,000 km",Petrol,"Wapda Town Phase 1, Lahore•",https://www.olx.com.pk/item/wagon-r-vxl-2018-iid-1105937348,Suzuki,Wagon R,Used,Hatchback,White,5.0
Hyundai Sonata 2022 2.5L,Rs 98 Lacs,2022,"5,500 km",Petrol,"DHA Phase 6, Karachi•",https://www.olx.com.pk/item/hyundai-sonata-2022-25l-iid-1105918190,Hyundai,Sonata,Used,Sedan,Blue,5.0
Toyota Yaris (2022) model,Rs 45.70 Lacs,2022,"90,000 km",Petrol,"B-17, Islamabad•",https://www.olx.com.pk/item/toyota-yaris-2022-model-iid-1105353680,Toyota,Yaris,Used,Other,Silver,5.0
;MG HS 2022/2024 SUV SALE UP,Rs 71.50 Lacs,2022,"47,000 km",Petrol,"Master City Housing Scheme, Gujranwala•",https://www.olx.com.pk/item/mg-hs-20222024-suv-sale-up-iid-1105348350,MG,HS,Used,SUV,White,5.0
Brand new Japanese Nissan clipper pc limited 2019,Rs 24.50 Lacs,2025,New,Petrol,"Al Mujeeb Town, Gujranwala•",https://www.olx.com.pk/item/suzuki-every-pc-limited-nissan-mono-model-2019-import-2025-iid-1105152937,Suzuki,Every,New,Small city car,White,
Honda Civic EXi 2005,Rs 16.75 Lacs,2005,"223,750 km",Petrol,"Noor Garden, Gujrat•",https://www.olx.com.pk/item/honda-civic-exi-2005-iid-1105142968,Honda,Civic EXi,Used,Sedan,White,4.0
Nissan Serena HighWay Star 2019/2024,Rs 67.50 Lacs,2019,"34,000 km",Hybrid,"Fatima Jinnah Road, Sargodha•",https://www.olx.com.pk/item/nissan-serena-highway-star-20192024-iid-1104965954,Nissan,Serena,Used,Van / Bus,White,7.0
MG HS 2021,Rs 66.25 Lacs,2021,"56,000 km",Petrol,"Saddar, Rawalpindi•",https://www.olx.com.pk/item/mg-hs-2021-iid-1104964515,MG,HS,Used,Other,White,5.0
Cultus 2008 vxr,Rs 9.50 Lac,2008,"130,000 km",Petrol,"Gulistan-e-Jauhar Block 4, Karachi•",https://www.olx.com.pk/item/cultus-2008-vxr-iid-1105937134,Suzuki,Cultus VXR,Used,Hatchback,White,
BMW 318i Series 2016,Rs 89 Lacs,2016,"101,000 km",Petrol,"DHA Phase 2 Extension, Karachi•",https://www.olx.com.pk/item/bmw-318i-series-2016-iid-1105937097,BMW,3 Series,Used,Sedan,Black,5.0
Honda city 2006 total genuine,Rs 22.50 Lacs,2006,"250,000 km",Petrol,"Fortress Stadium, Lahore•",https://www.olx.com.pk/item/honda-city-2006-total-genuine-iid-1105931099,Honda,City,Used,Small city car,Black,5.0
Toyota Corolla Altis 2022,Rs 63.50 Lacs,2022,"52,211 km",Petrol,"Chakswari, Mirpur•",https://www.olx.com.pk/item/toyota-corolla-altis-2022-iid-1105558212,Toyota,Corolla Altis,Used,Sedan,White,5.0
Suzuki Cultus VXL 2019,Rs 26.90 Lacs,2019,"79,000 km",Petrol,"Gulistan-e-Jauhar Block 3, Karachi•",https://www.olx.com.pk/item/suzuki-cultus-vxl-2019-iid-1102229276,Suzuki,Cultus VXL,Used,Hatchback,White,
Toyota Prius Alpha 2014,Rs 49.80 Lacs,2014,"240,000 km",Hybrid,"G-10, Islamabad•",https://www.olx.com.pk/item/toyota-prius-alpha-2014-iid-1098897602,Toyota,Prius Alpha,Used,MPV,Silver,5.0
Toyota Surf SSR-X 2.7 2001 | Toyota Surf 2001 Automatic,Rs 45 Lacs,2001,"100,000 km",Petrol,"Ring Road, Peshawar•",https://www.olx.com.pk/item/toyota-surf-ssr-x-27-2001-toyota-surf-2001-automatic-iid-1105937137,Toyota,Surf,Used,SUV,White,6.0
Suzuki merhan VXR 2004,Rs 5.80 Lac,2004,"69,568 km",CNG,"Khanpur, Haripur•",https://www.olx.com.pk/item/suzuki-merhan-vxr-2004-iid-1104770239,Suzuki,Mehran VXR,Used,Small city car,White,4.0
CULTUS VXR 2021,Rs 37 Lacs,2021,"36,000 km",Petrol,"Ghulam Mohammad Abad, Faisalabad•",https://www.olx.com.pk/item/cultus-vxr-2021-iid-1105936141,,,,,,
Suzuki Cultus VXR 2015,Rs 12.30 Lacs,2015,New,Petrol,"Bahria Town Phase 8, Rawalpindi•",https://www.olx.com.pk/item/suzuki-cultus-vxr-2015-iid-1105935014,,,,,,
Honda Civic VTi Oriel Prosmatec UG 2015 Extraordinary condition,Rs 39 Lacs,2015,"141,000 km",Petrol,"Johar Town, Lahore•",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-ug-2015-extraordinary-condition-iid-1105936271,,,,,,
Toyota Corolla Alits 1.6 automatic,Rs 46.50 Lacs,2018,"135,000 km",Petrol,"Others, Sahiwal•",https://www.olx.com.pk/item/toyota-corolla-alits-16-automatic-iid-1105933485,,,,,,
Honda Civic RS 2023,Rs 87 Lacs,2023,"40,000 km",Petrol,"Akberabad, Sialkot•",https://www.olx.com.pk/item/honda-civic-rs-2023-iid-1105930854,,,,,,
Honda Civic 1.5 RS Turbo 2020 Model Excellent Condition,Rs 68 Lacs,2020,"125,000 km",Petrol,"Canal View Housing Scheme, Gujranwala•",https://www.olx.com.pk/item/honda-civic-15-rs-turbo-2020-model-excellent-condition-iid-1105936277,,,,,,
toyota vitz model 2010 import 2013 registeted 2015,Rs 24.55 Lacs,2015,"148,620 km",Petrol,"Al Rehman Garden Phase 2, Lahore•",https://www.olx.com.pk/item/toyota-vitz-model-2010-import-2013-registeted-2015-iid-1105935911,,,,,,
2020 Toyota Raize Z Premium Edition Rocky City Yaris Corolla,Rs 61.90 Lacs,2020,"63,339 km",Petrol,"Maulana Shaukat Ali Road, Lahore•",https://www.olx.com.pk/item/2020-toyota-raize-z-premium-edition-rocky-city-yaris-corolla-iid-1105936091,,,,,,
Toyota Corolla gli 2013,Rs 23.50 Lacs,2013,"260,000 km",Petrol,"Jaranwala, Faisalabad•",https://www.olx.com.pk/item/toyota-corolla-gli-2013-iid-1105598118,,,,,,
Toyota Aqua Hybrid L Package 2013/17,Rs 33 Lacs,2013,"178,000 km",Hybrid,"Malir, Karachi•",https://www.olx.com.pk/item/toyota-aqua-hybrid-l-package-201317-iid-1105388627,,,,,,
Honda Vezel Z sensing Full option,Rs 41 Lacs,2014,"140,000 km",Petrol,"Margalla View Housing Society, Islamabad•",https://www.olx.com.pk/item/honda-vezel-z-sensing-full-option-iid-1105075360,,,,,,
Honda Civic 2017/18,Rs 48.50 Lacs,2017,"95,000 km",Petrol,"Allama Iqbal Town, Lahore•",https://www.olx.com.pk/item/honda-civic-201718-iid-1104080218,,,,,,
Honda N WGN 2023/2025,Rs 35.25 Lacs,2023,"19,619 km",Petrol,"DHA Phase 6, Lahore•",https://www.olx.com.pk/item/honda-n-wgn-20232025-iid-1105933339,,,,,,
alto vxl ags for sale,Rs 28.50 Lacs,2022,"43,500 km",Petrol,"G-13/1, Islamabad•",https://www.olx.com.pk/item/alto-vxl-ags-for-sale-iid-1105930501,,,,,,
HONDA CITY iVTEC PROSMATIC 1300CC,Rs 39.50 Lacs,2020,"86,000 km",Petrol,"Gulshan-e-Iqbal, Karachi•",https://www.olx.com.pk/item/honda-city-ivtec-prosmatic-1300cc-iid-1105929922,,,,,,
cultus vxr,Rs 29.50 Lacs,2020,"70,000 km",Petrol,"Silver Oaks Apartments, Islamabad•",https://www.olx.com.pk/item/cultus-vxr-iid-1105888051,,,,,,
2020 Toyota Raize Z Premium 4 Grade Rocky Swift City Corolla,Rs 62.90 Lacs,2020,"63,469 km",Petrol,"Maulana Shaukat Ali Road, Lahore•",https://www.olx.com.pk/item/2020-toyota-raize-z-premium-4-grade-rocky-swift-city-corolla-iid-1105935140,,,,,,
Honda Civic Oriel iVTEC (2021) UG,Rs 67.50 Lacs,2021,"54,000 km",Petrol,"MPCHS - Multi Gardens, Islamabad•",https://www.olx.com.pk/item/honda-civic-oriel-ivtec-2021-ug-iid-1105934946,,,,,,
Paso 2009l genuine,Rs 20.85 Lacs,2009,"81,000 km",Petrol,"IJP Road, Islamabad•",https://www.olx.com.pk/item/paso-2009l-genuine-iid-1105440682,,,,,,
Honda civic prosmetic  2003 model,Rs 17.50 Lacs,2003,"162,000 km",Petrol,"Shehzad Town, Islamabad•",https://www.olx.com.pk/item/honda-civic-prosmetic-2003-model-iid-1105932646,,,,,,
Toyota Hilux 2002 | Hilux 2002 For Sale Manual,Rs 29 Lacs,2002,New,Petrol,"Islamkot, Tharparkar•",https://www.olx.com.pk/item/toyota-hilux-2002-hilux-2002-for-sale-manual-iid-1105552375,,,,,,
Honda Civic VTi Oriel Prosmatec 2010 Model,Rs 26.75 Lacs,2010,"230,000 km",Petrol,"Central Park Housing Scheme, Lahore•",https://www.olx.com.pk/item/honda-civic-vti-oriel-prosmatec-2010-model-iid-1105551613,,,,,,
KIA Sportage Black Limited Edition 2023,Rs 91.50 Lacs,2023,"8,870 km",Petrol,"Ghang Road, Sheikhüpura•",https://www.olx.com.pk/item/kia-sportage-black-limited-edition-2023-iid-1105351738,,,,,,
Toyota Corolla GLi 1.3 VVTi 2018,Rs 43.50 Lacs,2018,"95,448 km",Petrol,"Adiala Road, Rawalpindi•",https://www.olx.com.pk/item/toyota-corolla-gli-13-vvti-2018-iid-1105149231,,,,,,
BMW X5 Series 2003,Rs 54 Lacs,2003,"132,000 km",Diesel,"G-8, Islamabad•",https://www.olx.com.pk/item/bmw-x5-series-2003-iid-1105148324,,,,,,
